                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.396,                 3.1805,                 2.1332,                0.30415,                0.34018,                0.23706,                0.11211,                 1.8339,                 2.1193,                  1.316,                0.07007,              0.0033256,              0.0033256
                      1,                  1.797,                 1.6777,                 1.2326,                0.49961,                0.53238,                0.47805,                0.24625,                 1.4703,                 1.3271,                 1.1076,               0.037872,              0.0044615,              0.0044615
                      2,                  1.577,                  1.395,                  1.116,                0.55581,                0.58445,                0.55199,                0.30564,                 1.3539,                 1.2129,                 1.0636,              0.0034747,              0.0033974,              0.0033974
