                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0513,                0.50115,                 1.0818,                0.95493,                0.93526,                0.96303,                0.66936,                  1.006,                0.44155,                  1.106,               0.006634,               0.006634,               0.006634
                     36,                 1.0551,                0.49733,                 1.0876,                0.95885,                0.93337,                0.96439,                0.67144,                 1.0108,                0.43965,                 1.1085,               0.006535,               0.006535,               0.006535
                     37,                 1.0538,                0.49039,                 1.0792,                0.95692,                0.93423,                0.96341,                0.67197,                 1.0049,                0.43254,                  1.105,               0.006436,               0.006436,               0.006436
                     38,                 1.0507,                 0.4911,                 1.0814,                0.95591,                0.93677,                 0.9636,                0.67328,                 1.0066,                0.43293,                 1.1018,               0.006337,               0.006337,               0.006337
                     39,                 1.0434,                0.48909,                 1.0785,                 0.9525,                0.93424,                0.96144,                0.67109,                 1.0006,                0.43048,                 1.1019,               0.006238,               0.006238,               0.006238
                     40,                 1.0485,                0.48666,                 1.0789,                0.95702,                0.93692,                0.96409,                0.67383,                 1.0032,                0.42665,                 1.1054,               0.006139,               0.006139,               0.006139
                     41,                 1.0518,                0.48753,                 1.0819,                0.95797,                0.93768,                0.96712,                0.68002,                0.99828,                0.42764,                 1.1011,                0.00604,                0.00604,                0.00604
                     42,                 1.0416,                0.48278,                 1.0734,                0.95519,                0.93859,                0.96602,                0.67534,                0.99887,                0.42818,                 1.1006,               0.005941,               0.005941,               0.005941
                     43,                 1.0369,                0.47944,                 1.0708,                0.95767,                0.93692,                0.96545,                0.67967,                0.99923,                0.42267,                 1.1006,               0.005842,               0.005842,               0.005842
                     44,                 1.0395,                0.47933,                 1.0785,                0.95825,                0.93859,                0.96564,                 0.6767,                 0.9992,                0.42296,                 1.1023,               0.005743,               0.005743,               0.005743
                     45,                 1.0368,                0.47423,                 1.0739,                0.95968,                0.93956,                0.96602,                0.68024,                0.99805,                0.42193,                 1.0999,               0.005644,               0.005644,               0.005644
                     46,                 1.0287,                0.47467,                 1.0679,                0.95836,                0.93696,                 0.9658,                   0.68,                0.99689,                 0.4249,                  1.096,               0.005545,               0.005545,               0.005545
                     47,                 1.0359,                0.47254,                 1.0749,                0.95738,                0.93751,                0.96631,                0.68231,                0.99153,                0.41983,                 1.0977,               0.005446,               0.005446,               0.005446
                     48,                  1.028,                0.47106,                 1.0735,                0.95968,                0.94061,                0.96757,                0.68459,                0.99088,                0.41916,                 1.0976,               0.005347,               0.005347,               0.005347
                     49,                 1.0252,                0.46553,                  1.074,                0.96325,                0.94394,                0.96858,                0.68467,                0.99167,                0.41738,                 1.0972,               0.005248,               0.005248,               0.005248
                     50,                 1.0242,                0.46581,                 1.0741,                0.95739,                0.93924,                0.96499,                0.68377,                0.99049,                0.41744,                 1.0972,               0.005149,               0.005149,               0.005149
                     51,                 1.0253,                0.46642,                  1.073,                0.96093,                0.94125,                0.96877,                0.68784,                0.98862,                0.41391,                  1.097,                0.00505,                0.00505,                0.00505
                     52,                 1.0306,                0.46751,                 1.0701,                0.95969,                0.94037,                0.96745,                0.68549,                0.99089,                0.41398,                 1.0969,               0.004951,               0.004951,               0.004951
                     53,                  1.026,                 0.4639,                 1.0708,                0.95995,                0.94075,                0.96819,                0.68599,                0.98676,                0.41277,                  1.096,               0.004852,               0.004852,               0.004852
                     54,                 1.0216,                0.46271,                  1.068,                0.96055,                0.94329,                0.96916,                0.68831,                 0.9869,                 0.4112,                 1.0968,               0.004753,               0.004753,               0.004753
                     55,                 1.0214,                0.46175,                 1.0739,                0.96141,                0.94103,                0.96736,                0.68869,                0.98499,                0.41082,                 1.0956,               0.004654,               0.004654,               0.004654
                     56,                 1.0197,                0.45846,                 1.0688,                0.96055,                0.94185,                0.96756,                0.68747,                0.98496,                0.41276,                 1.0965,               0.004555,               0.004555,               0.004555
                     57,                 1.0166,                0.46001,                 1.0647,                0.96192,                0.94317,                0.97077,                0.69123,                0.98432,                0.41017,                 1.0936,               0.004456,               0.004456,               0.004456
                     58,                  1.016,                0.45774,                 1.0642,                0.96186,                0.94317,                0.97014,                0.69066,                0.98223,                0.40836,                 1.0931,               0.004357,               0.004357,               0.004357
                     59,                 1.0125,                0.45158,                 1.0677,                0.96183,                0.94404,                0.96999,                0.69088,                0.98313,                0.40805,                 1.0923,               0.004258,               0.004258,               0.004258
                     60,                 1.0124,                0.45464,                 1.0634,                0.96108,                0.94362,                0.96975,                0.69098,                 0.9815,                0.40817,                 1.0937,               0.004159,               0.004159,               0.004159
                     61,                 1.0137,                0.45356,                  1.063,                0.96142,                0.94295,                0.96872,                0.69058,                0.98013,                0.40815,                 1.0897,                0.00406,                0.00406,                0.00406
                     62,                 1.0134,                0.45369,                 1.0649,                0.96218,                0.94451,                0.96903,                0.69131,                0.98032,                0.40671,                 1.0906,               0.003961,               0.003961,               0.003961
                     63,                 1.0133,                0.44651,                 1.0661,                0.96143,                0.94565,                0.96988,                0.69156,                0.98313,                0.40492,                 1.0898,               0.003862,               0.003862,               0.003862
                     64,                 1.0087,                0.44549,                 1.0616,                0.96222,                0.94593,                0.96885,                0.69219,                0.98077,                0.40386,                 1.0907,               0.003763,               0.003763,               0.003763
                     65,                 1.0095,                0.44903,                 1.0631,                 0.9625,                0.94574,                0.96978,                0.69267,                0.98114,                0.40403,                 1.0917,               0.003664,               0.003664,               0.003664
                     66,                 1.0079,                0.44733,                 1.0629,                0.96153,                0.94554,                0.97018,                0.69364,                0.97852,                0.40349,                 1.0909,               0.003565,               0.003565,               0.003565
                     67,                 1.0053,                0.44232,                 1.0627,                 0.9612,                0.94586,                0.97067,                0.69631,                0.97538,                0.40037,                 1.0913,               0.003466,               0.003466,               0.003466
                     68,                 1.0046,                0.44103,                 1.0615,                0.96225,                0.94457,                0.97087,                0.69538,                 0.9763,                0.40169,                 1.0906,               0.003367,               0.003367,               0.003367
                     69,                 1.0061,                0.43894,                 1.0603,                0.96245,                0.94487,                 0.9703,                0.69505,                0.97673,                0.40035,                 1.0911,               0.003268,               0.003268,               0.003268
                     70,                 1.0041,                 0.4407,                 1.0606,                0.96218,                0.94564,                0.97019,                0.69535,                0.97701,                0.40014,                 1.0908,               0.003169,               0.003169,               0.003169
